estado;total_moradores;tipo_local;num_comodos;problemas_recentes;saude;peso;altura
Piauí;2;Rural;5;Não;Boa;058.0;169
Pará;7;Urbano;2;Não;#N/D;;
Acre;7;Urbano;10;Não;Boa;060.0;157
Ceará;3;Rural;6;Não;Boa;078.0;
Roraima;5;Rural;5;Não;Boa;062.0;145
Paraná;4;Urbano;10;Não;Boa;088.0;170
Minas Gerais;5;Urbano;2;Não;Boa;070.0;180
Maranhão;4;Urbano;8;Não;Boa;066.0;167
Bahia;5;Rural;9;Não;#N/D;;
Mato Grosso;3;Urbano;5;Não;#N/D;;
Sergipe;3;Urbano;5;Não;#N/D;;
Paraíba;3;Urbano;6;Não;#N/D;;
Rio Grande do Sul;2;Urbano;4;Não;#N/D;;
Paraíba;2;Urbano;4;Não;#N/D;;
Ceará;3;Rural;6;Não;#N/D;;
Pará;3;Rural;12;Não;Boa;090.0;172
Roraima;5;Urbano;5;Não;#N/D;;
Tocantins;3;Urbano;8;Sim;Ruim;075.0;163
Pernambuco;2;Urbano;4;Não;Boa;;165
Roraima;3;Urbano;5;Sim;#N/D;;
Sergipe;2;Urbano;5;Não;#N/D;;
Mato Grosso;6;Urbano;14;Não;#N/D;;
Sergipe;4;Rural;5;Não;Muito boa;066.0;158
Piauí;7;Rural;4;Não;#N/D;;
Ceará;7;Urbano;9;Não;#N/D;;
Ceará;1;Urbano;6;Não;Boa;096.0;162
Ceará;5;Urbano;6;Não;Boa;;
Mato Grosso do Sul;3;Urbano;5;Não;#N/D;;
Pará;;Urbano;;;#N/D;;
Paraíba;5;Urbano;7;Não;#N/D;;
Amazonas;5;Urbano;5;Não;#N/D;;
Pará;3;Urbano;2;Não;#N/D;;
Alagoas;6;Rural;6;Não;Regular;061.0;
Espírito Santo;3;Urbano;5;Não;#N/D;;
Rio de Janeiro;3;Urbano;6;Não;#N/D;;
Maranhão;4;Rural;10;Não;#N/D;;
São Paulo;3;Urbano;5;Não;#N/D;;
Rio Grande do Norte;2;Urbano;5;Não;#N/D;;
Acre;4;Urbano;7;Não;#N/D;;
Amazonas;5;Urbano;5;Não;#N/D;;
Minas Gerais;3;Urbano;6;Não;#N/D;;
Minas Gerais;4;Urbano;6;Não;#N/D;;
Maranhão;5;Urbano;5;Não;#N/D;;
Santa Catarina;4;Urbano;6;Não;#N/D;;
Piauí;3;Rural;6;Não;#N/D;;
Acre;4;Urbano;5;Não;#N/D;;
Mato Grosso;5;Urbano;5;Não;Boa;080.3;183
Amazonas;4;Rural;4;Não;#N/D;;
Rio Grande do Norte;3;Urbano;3;Não;#N/D;;
Roraima;9;Urbano;6;Não;#N/D;;
Roraima;10;Rural;2;Não;#N/D;;
Pernambuco;2;Urbano;5;Sim;#N/D;;
Amapá;7;Urbano;9;Não;#N/D;;
Rio de Janeiro;1;Urbano;4;Não;Regular;064.0;186
Pará;2;Urbano;5;Não;Boa;;
Rio de Janeiro;3;Urbano;5;Não;#N/D;;
Pará;2;Urbano;5;Não;Regular;;
Ceará;3;Urbano;6;Não;Boa;062.0;175
Sergipe;3;Urbano;6;Sim;#N/D;;
Bahia;4;Rural;8;Sim;#N/D;;
Acre;3;Urbano;8;Não;#N/D;;
Rio Grande do Sul;7;Rural;11;Não;#N/D;;
Bahia;4;Rural;6;Não;#N/D;;
Roraima;2;Urbano;13;Não;Muito boa;065.0;150
Rio de Janeiro;3;Urbano;8;Não;#N/D;;
Piauí;4;Rural;7;Não;#N/D;;
Roraima;7;Urbano;1;Sim;#N/D;;
Ceará;6;Rural;5;Não;#N/D;;
Rio Grande do Sul;1;Urbano;4;Não;Boa;062.0;158
Minas Gerais;2;Urbano;4;Não;#N/D;;
Sergipe;3;Urbano;4;Não;#N/D;;
Pará;4;Urbano;6;Não;Boa;069.0;164
Pernambuco;3;Urbano;6;Não;#N/D;;
Roraima;;Urbano;;;#N/D;;
Amapá;4;Urbano;5;Não;Boa;;
Maranhão;4;Urbano;6;Não;#N/D;;
Rio Grande do Norte;1;Urbano;3;Não;Regular;083.0;148
São Paulo;;Rural;;;#N/D;;
Ceará;2;Urbano;5;Não;Boa;070.0;170
Pernambuco;6;Urbano;5;Não;#N/D;;
Espírito Santo;3;Rural;9;Não;#N/D;;
Amazonas;3;Rural;5;Não;#N/D;;
Santa Catarina;5;Urbano;6;Não;#N/D;;
Rio Grande do Sul;3;Urbano;7;Não;#N/D;;
Sergipe;4;Urbano;6;Não;#N/D;;
Ceará;5;Rural;6;Não;#N/D;;
Maranhão;3;Urbano;8;Não;Regular;074.0;160
Sergipe;3;Urbano;10;Não;#N/D;;
São Paulo;4;Urbano;5;Não;#N/D;;
Amapá;5;Urbano;7;Não;#N/D;;
São Paulo;5;Urbano;5;Sim;#N/D;;
Rio de Janeiro;5;Urbano;5;Não;#N/D;;
Rio Grande do Norte;3;Urbano;5;Sim;#N/D;;
Paraíba;2;Urbano;4;Não;#N/D;;
Roraima;5;Rural;7;Não;#N/D;;
Piauí;3;Urbano;7;Não;#N/D;;
Rondônia;5;Rural;7;Não;#N/D;;
Rio Grande do Sul;4;Rural;5;Não;Muito boa;065.0;171
Ceará;3;Urbano;7;Não;#N/D;;
São Paulo;3;Urbano;6;Não;#N/D;;
Maranhão;3;Urbano;6;Não;#N/D;;
Paraná;2;Urbano;5;Não;#N/D;;
Acre;6;Rural;4;Não;Regular;080.0;177
Espírito Santo;3;Rural;7;Não;#N/D;;
Ceará;4;Urbano;3;Não;Boa;066.0;165
Pernambuco;4;Rural;7;Não;#N/D;;
Maranhão;6;Urbano;6;Não;#N/D;;
Rio Grande do Sul;2;Urbano;4;Sim;#N/D;;
Maranhão;4;Urbano;6;Não;#N/D;;
Maranhão;7;Rural;4;Sim;#N/D;;
Acre;4;Urbano;7;Não;#N/D;;
Maranhão;7;Urbano;12;Não;#N/D;;
Roraima;4;Urbano;6;Sim;#N/D;;
Rio de Janeiro;1;Urbano;2;Não;Muito boa;070.0;172
Sergipe;7;Rural;5;Sim;#N/D;;
Ceará;3;Urbano;3;Não;#N/D;;
Roraima;5;Urbano;9;Não;#N/D;;
Espírito Santo;2;Urbano;5;Não;Boa;;154
Paraíba;4;Urbano;5;Não;#N/D;;
Pará;3;Urbano;7;Não;#N/D;;
Espírito Santo;2;Urbano;6;Não;#N/D;;
Rio Grande do Norte;3;Urbano;4;Não;#N/D;;
Espírito Santo;3;Urbano;12;Não;#N/D;;
Alagoas;2;Urbano;6;Não;Boa;;
Ceará;5;Urbano;4;Não;#N/D;;
Tocantins;8;Urbano;5;Não;#N/D;;
Rio de Janeiro;2;Urbano;6;Não;#N/D;;
Pará;6;Rural;4;Não;Regular;063.0;160
Rio Grande do Norte;4;Urbano;11;Não;#N/D;;
Ceará;7;Rural;6;Sim;Regular;086.0;176
Rio Grande do Norte;3;Urbano;6;Não;#N/D;;
Mato Grosso;4;Rural;5;Não;Boa;069.0;168
Pernambuco;;Rural;;;#N/D;;
Mato Grosso do Sul;3;Urbano;9;Não;#N/D;;
Alagoas;4;Urbano;5;Não;#N/D;;
Goiás;5;Rural;6;Não;#N/D;;
Pará;7;Rural;3;Não;#N/D;;
Minas Gerais;5;Urbano;6;Não;#N/D;;
Rio Grande do Norte;3;Urbano;6;Não;#N/D;;
Amapá;6;Urbano;5;Não;#N/D;;
Minas Gerais;1;Urbano;5;Não;Boa;073.0;
Ceará;;Urbano;;;#N/D;;
Minas Gerais;3;Urbano;5;Não;#N/D;;
Paraíba;4;Rural;6;Não;#N/D;;
Paraíba;4;Urbano;5;Não;#N/D;;
Pernambuco;5;Urbano;5;Não;Boa;095.0;180
Santa Catarina;4;Urbano;7;Não;#N/D;;
Amapá;5;Urbano;3;Não;#N/D;;
Tocantins;3;Urbano;7;Não;#N/D;;
Pará;2;Rural;8;Sim;#N/D;;
Espírito Santo;4;Urbano;4;Não;#N/D;;
Rondônia;3;Rural;5;Não;#N/D;;
Espírito Santo;3;Urbano;6;Não;Boa;061.0;169
Maranhão;3;Urbano;7;Não;#N/D;;
Acre;4;Urbano;9;Não;#N/D;;
Rio Grande do Norte;2;Urbano;4;Não;#N/D;;
Rio de Janeiro;2;Urbano;5;Não;Boa;063.0;178
Acre;1;Urbano;3;Não;Boa;070.0;168
Pernambuco;5;Urbano;4;Não;#N/D;;
Paraná;3;Urbano;16;Sim;#N/D;;
Santa Catarina;2;Urbano;6;Não;#N/D;;
Rio Grande do Sul;2;Urbano;5;Não;Boa;062.0;169
Alagoas;4;Urbano;5;Não;#N/D;;
Rio Grande do Sul;6;Urbano;8;Não;#N/D;;
Pará;4;Urbano;7;Não;#N/D;;
Pernambuco;5;Urbano;5;Não;Boa;084.0;171
Bahia;5;Urbano;7;Sim;#N/D;;
Ceará;5;Urbano;4;Não;#N/D;;
Rondônia;6;Urbano;6;Não;#N/D;;
Sergipe;3;Urbano;7;Não;#N/D;;
Amazonas;4;Urbano;7;Não;#N/D;;
Rio Grande do Sul;5;Urbano;8;Sim;#N/D;;
Goiás;4;Urbano;8;Não;#N/D;;
Piauí;6;Urbano;7;Não;#N/D;;
Pará;3;Urbano;8;Não;#N/D;;
Ceará;2;Urbano;4;Não;#N/D;;
Rio Grande do Norte;4;Urbano;5;Não;Boa;067.0;
Paraíba;4;Urbano;5;Não;Regular;;
Maranhão;3;Urbano;5;Não;#N/D;;
Rio de Janeiro;6;Urbano;6;Não;#N/D;;
Paraná;3;Urbano;7;Não;#N/D;;
Acre;4;Urbano;5;Não;#N/D;;
Paraná;2;Urbano;5;Não;#N/D;;
Mato Grosso do Sul;3;Urbano;9;Não;#N/D;;
Minas Gerais;4;Urbano;6;Não;#N/D;;
Pernambuco;5;Urbano;10;Não;Muito boa;094.0;166
Paraná;2;Urbano;7;Não;Boa;070.0;165
Santa Catarina;3;Urbano;9;Não;#N/D;;
Minas Gerais;;Urbano;;;#N/D;;
Paraná;3;Rural;5;Não;#N/D;;
Pará;4;Rural;4;Não;#N/D;;
Maranhão;5;Urbano;7;Não;Boa;072.0;164
Rio Grande do Sul;4;Urbano;5;Não;#N/D;;
Distrito Federal;2;Urbano;3;Não;#N/D;;
Minas Gerais;3;Urbano;5;Não;#N/D;;
Amapá;6;Urbano;7;Não;#N/D;;
Minas Gerais;5;Urbano;5;Não;#N/D;;
Mato Grosso do Sul;3;Urbano;17;Não;Muito boa;065.0;158
Santa Catarina;4;Urbano;7;Não;#N/D;;
São Paulo;5;Urbano;7;Não;#N/D;;
Rio Grande do Norte;3;Rural;5;Não;#N/D;;
Pará;4;Urbano;4;Não;#N/D;;
São Paulo;3;Urbano;10;Não;Boa;090.0;175
Roraima;4;Urbano;4;Não;#N/D;;
Roraima;3;Urbano;8;Não;#N/D;;
Pará;10;Rural;4;Não;#N/D;;
Pernambuco;4;Urbano;6;Não;#N/D;;
Rio Grande do Sul;3;Urbano;4;Não;#N/D;;
Maranhão;4;Rural;4;Não;#N/D;;
Ceará;2;Urbano;8;Não;Regular;096.0;165
Rondônia;3;Urbano;7;Não;#N/D;;
Pará;2;Urbano;6;Não;#N/D;;
São Paulo;4;Urbano;9;Não;#N/D;;
Rio de Janeiro;4;Urbano;7;Não;#N/D;;
Goiás;4;Urbano;7;Não;Regular;065.0;160
Paraíba;7;Urbano;8;Não;#N/D;;
Amazonas;5;Urbano;4;Não;#N/D;;
Pernambuco;3;Urbano;6;Não;#N/D;;
Minas Gerais;5;Urbano;9;Não;#N/D;;
Rio de Janeiro;3;Urbano;5;Não;#N/D;;
Alagoas;5;Urbano;5;Não;#N/D;;
Espírito Santo;2;Urbano;14;Não;#N/D;;
Paraná;3;Urbano;7;Não;#N/D;;
Rondônia;6;Urbano;7;Não;#N/D;;
Amapá;10;Rural;4;Não;#N/D;;
Sergipe;3;Rural;8;Não;#N/D;;
Rio de Janeiro;;Urbano;;;#N/D;;
Piauí;6;Urbano;7;Não;#N/D;;
Mato Grosso;4;Urbano;7;Não;#N/D;;
Paraná;4;Urbano;5;Não;Ruim;100.0;178
Sergipe;2;Urbano;9;Não;Regular;079.0;163
Sergipe;4;Rural;6;Sim;Muito boa;079.0;178
Bahia;2;Rural;6;Não;#N/D;;
Ceará;4;Urbano;5;Não;#N/D;;
Paraíba;5;Urbano;8;Não;#N/D;;
Amazonas;3;Urbano;5;Não;#N/D;;
Paraíba;6;Urbano;7;Não;#N/D;;
Rio de Janeiro;2;Urbano;5;Não;#N/D;;
Rio de Janeiro;;Urbano;;;#N/D;;
Maranhão;3;Urbano;6;Não;#N/D;;
Mato Grosso do Sul;2;Urbano;7;Não;#N/D;;
Rio Grande do Norte;5;Rural;7;Não;Boa;077.0;
Roraima;3;Urbano;12;Não;Regular;074.0;159
Rio Grande do Sul;2;Rural;5;Não;#N/D;;
Espírito Santo;4;Urbano;5;Não;#N/D;;
Pernambuco;;Urbano;;;#N/D;;
Mato Grosso do Sul;7;Urbano;3;Não;#N/D;;
Maranhão;9;Urbano;8;Não;#N/D;;
Rio de Janeiro;5;Urbano;5;Não;#N/D;;
Pernambuco;4;Urbano;7;Não;Boa;054.0;165
São Paulo;2;Urbano;4;Não;#N/D;;
Rio de Janeiro;3;Urbano;5;Não;#N/D;;
Rio de Janeiro;3;Urbano;6;Não;#N/D;;
Paraná;4;Urbano;6;Sim;Regular;056.0;156
Maranhão;3;Urbano;10;Não;Boa;072.0;159
Maranhão;6;Rural;8;Não;#N/D;;
Rio de Janeiro;3;Urbano;6;Não;Boa;065.0;160
Maranhão;4;Rural;5;Não;Regular;050.0;175
Maranhão;5;Rural;3;Não;Regular;080.0;167
Distrito Federal;2;Urbano;8;Não;Regular;065.0;164
Pará;;Urbano;;;#N/D;;
Rondônia;5;Urbano;7;Não;#N/D;;
Pernambuco;4;Urbano;5;Não;#N/D;;
Rio Grande do Sul;2;Urbano;3;Não;#N/D;;
Amazonas;4;Urbano;5;Não;Boa;056.0;155
Bahia;7;Rural;6;Não;#N/D;;
Paraná;;Rural;;;#N/D;;
São Paulo;5;Rural;3;Não;#N/D;;
Maranhão;4;Urbano;6;Não;#N/D;;
Mato Grosso;2;Urbano;5;Não;#N/D;;
Minas Gerais;5;Urbano;7;Não;#N/D;;
Pará;;Urbano;;;#N/D;;
Amapá;3;Urbano;5;Não;Boa;075.0;161
Amazonas;3;Urbano;6;Não;#N/D;;
Acre;5;Urbano;6;Sim;Ruim;071.0;159
Acre;;Rural;;;#N/D;;
Piauí;2;Urbano;11;Sim;#N/D;;
Acre;5;Urbano;3;Não;Boa;060.0;185
Paraíba;2;Rural;6;Não;Regular;069.0;156
Rio de Janeiro;4;Urbano;6;Não;#N/D;;
São Paulo;1;Urbano;4;Não;Boa;053.0;159
Bahia;4;Urbano;6;Não;Boa;054.0;159
Ceará;1;Urbano;4;Não;Regular;050.0;148
Rondônia;2;Urbano;5;Não;Boa;087.0;180
Bahia;3;Urbano;7;Não;Boa;064.0;167
Pernambuco;3;Urbano;5;Não;Muito boa;075.0;162
Ceará;;Urbano;;;#N/D;;
Alagoas;4;Urbano;7;Não;#N/D;;
Paraná;3;Rural;6;Sim;#N/D;;
Maranhão;6;Rural;4;Não;#N/D;;
Roraima;2;Urbano;2;Não;#N/D;;
Mato Grosso do Sul;4;Rural;6;Não;Muito boa;081.0;180
Rio de Janeiro;6;Urbano;5;Não;#N/D;;
Espírito Santo;3;Rural;4;Não;#N/D;;
Distrito Federal;3;Urbano;6;Não;#N/D;;
Pará;4;Rural;2;Sim;#N/D;;
Sergipe;5;Urbano;8;Não;#N/D;;
Paraná;3;Urbano;5;Não;#N/D;;
Paraíba;2;Urbano;5;Não;Boa;071.0;159
Acre;2;Rural;2;Não;#N/D;;
Espírito Santo;3;Urbano;5;Não;#N/D;;
Bahia;6;Urbano;5;Não;#N/D;;
Pará;6;Urbano;7;Não;#N/D;;
Maranhão;4;Urbano;3;Não;#N/D;;
Espírito Santo;4;Urbano;6;Não;#N/D;;
Alagoas;5;Urbano;8;Sim;#N/D;;
Mato Grosso do Sul;5;Urbano;7;Não;#N/D;;
Santa Catarina;2;Urbano;5;Não;Muito boa;070.0;175
Rondônia;3;Urbano;6;Não;#N/D;;
Rondônia;4;Urbano;5;Não;#N/D;;
Roraima;6;Urbano;4;Não;#N/D;;
Espírito Santo;4;Urbano;7;Não;#N/D;;
Amazonas;10;Rural;11;Não;#N/D;;
Espírito Santo;5;Rural;6;Não;#N/D;;
Rio de Janeiro;3;Urbano;6;Não;#N/D;;
Ceará;4;Urbano;4;Não;#N/D;;
São Paulo;3;Urbano;6;Não;#N/D;;
Rondônia;4;Rural;6;Não;Boa;072.0;
Distrito Federal;4;Urbano;6;Não;Boa;068.0;162
Maranhão;4;Urbano;5;Não;Muito boa;053.0;
Espírito Santo;2;Urbano;9;Sim;#N/D;;
Pará;6;Urbano;8;Não;#N/D;;
Espírito Santo;2;Urbano;7;Não;Regular;078.0;180
Rio Grande do Norte;1;Urbano;4;Não;Regular;062.0;
Mato Grosso do Sul;5;Rural;5;Não;#N/D;;
Minas Gerais;4;Urbano;5;Não;#N/D;;
Pernambuco;2;Urbano;9;Não;#N/D;;
Mato Grosso;3;Urbano;6;Não;#N/D;;
São Paulo;3;Urbano;8;Não;Boa;065.0;171
Mato Grosso;3;Urbano;7;Não;#N/D;;
Pará;2;Urbano;3;Não;Muito boa;064.0;160
Rio de Janeiro;6;Urbano;5;Não;#N/D;;
Santa Catarina;3;Urbano;6;Sim;#N/D;;
São Paulo;2;Urbano;4;Sim;Boa;070.0;178
Sergipe;6;Urbano;7;Não;#N/D;;
São Paulo;4;Urbano;11;Não;#N/D;;
Espírito Santo;4;Rural;6;Não;#N/D;;
Sergipe;2;Urbano;8;Não;#N/D;;
Pernambuco;4;Urbano;7;Não;#N/D;;
Roraima;4;Rural;4;Não;Regular;066.5;175
Santa Catarina;;Urbano;;;#N/D;;
Bahia;3;Urbano;4;Não;#N/D;;
Maranhão;2;Urbano;7;Não;Regular;066.0;
Maranhão;4;Rural;4;Não;#N/D;;
Acre;4;Urbano;6;Não;#N/D;;
Pará;3;Urbano;4;Não;Boa;080.0;170
Distrito Federal;4;Urbano;8;Não;#N/D;;
Sergipe;3;Urbano;5;Não;Boa;052.0;
Ceará;6;Rural;6;Não;#N/D;;
Rio Grande do Norte;5;Urbano;5;Não;#N/D;;
Paraíba;5;Urbano;6;Não;#N/D;;
Mato Grosso do Sul;4;Urbano;10;Não;#N/D;;
Ceará;6;Urbano;10;Não;#N/D;;
Espírito Santo;2;Urbano;5;Não;Boa;056.0;159
Bahia;6;Urbano;6;Não;#N/D;;
Rio de Janeiro;3;Urbano;4;Sim;#N/D;;
Acre;6;Urbano;8;Não;Regular;057.0;169
Paraíba;6;Rural;6;Não;#N/D;;
São Paulo;2;Urbano;4;Não;#N/D;;
Bahia;3;Urbano;6;Não;#N/D;;
Bahia;3;Rural;5;Não;#N/D;;
Ceará;4;Urbano;9;Não;Muito boa;115.0;170
Ceará;2;Urbano;5;Não;Boa;060.0;150
São Paulo;2;Urbano;6;Não;#N/D;;
Mato Grosso;1;Urbano;5;Não;Muito boa;070.0;159
Tocantins;2;Urbano;5;Não;Regular;063.0;
São Paulo;3;Urbano;6;Não;Boa;075.0;157
Sergipe;3;Urbano;5;Não;Muito boa;070.0;168
Bahia;4;Rural;5;Sim;#N/D;;
Rio de Janeiro;2;Urbano;6;Não;#N/D;;
Roraima;2;Rural;5;Não;#N/D;;
Mato Grosso;4;Urbano;5;Não;#N/D;;
Rio Grande do Norte;;Rural;;;#N/D;;
Santa Catarina;1;Rural;5;Não;Regular;058.0;154
Alagoas;5;Rural;5;Não;#N/D;;
Mato Grosso do Sul;;Rural;;;#N/D;;
Maranhão;6;Rural;4;Não;Boa;046.0;
Sergipe;2;Urbano;5;Não;#N/D;;
Goiás;2;Urbano;5;Não;Boa;077.0;172
Roraima;7;Rural;5;Não;#N/D;;
Paraná;4;Urbano;6;Não;#N/D;;
Ceará;1;Urbano;2;Não;Muito boa;;
Rio Grande do Norte;;Urbano;;;#N/D;;
Acre;3;Urbano;1;Não;Boa;075.0;176
Maranhão;4;Urbano;5;Não;#N/D;;
Pernambuco;3;Urbano;9;Não;Boa;073.0;171
Amazonas;3;Rural;6;Não;#N/D;;
Goiás;2;Urbano;5;Não;#N/D;;
Goiás;6;Urbano;8;Não;#N/D;;
Ceará;4;Rural;4;Não;#N/D;;
Maranhão;4;Rural;6;Não;Boa;064.0;168
Minas Gerais;4;Urbano;7;Não;#N/D;;
Espírito Santo;1;Urbano;8;Não;Regular;083.0;172
Maranhão;2;Urbano;4;Não;#N/D;;
Pará;3;Rural;6;Não;#N/D;;
Paraíba;2;Urbano;5;Sim;#N/D;;
Maranhão;3;Rural;4;Não;Regular;061.0;
Piauí;3;Urbano;9;Não;#N/D;;
Ceará;1;Rural;4;Não;Boa;058.0;158
Maranhão;3;Rural;6;Não;#N/D;;
Rio Grande do Norte;4;Urbano;6;Não;Boa;060.0;166
Rio de Janeiro;5;Urbano;5;Não;#N/D;;
Paraíba;4;Urbano;5;Não;#N/D;;
Ceará;;Urbano;;;#N/D;;
Amazonas;5;Urbano;6;Não;#N/D;;
Maranhão;5;Rural;6;Não;#N/D;;
Amazonas;2;Urbano;3;Não;#N/D;;
Rio Grande do Norte;3;Urbano;10;Não;Boa;062.0;
Espírito Santo;4;Urbano;5;Não;#N/D;;
Alagoas;4;Urbano;5;Sim;#N/D;;
São Paulo;5;Urbano;11;Não;#N/D;;
Rio Grande do Norte;7;Rural;6;Não;#N/D;;
Espírito Santo;3;Urbano;6;Não;Boa;084.0;172
Rio de Janeiro;3;Urbano;5;Não;#N/D;;
Rio de Janeiro;;Urbano;;;#N/D;;
Tocantins;3;Urbano;13;Sim;Boa;080.0;159
Maranhão;6;Urbano;6;Não;#N/D;;
Santa Catarina;4;Urbano;7;Sim;#N/D;;
Piauí;4;Urbano;7;Não;#N/D;;
Goiás;2;Urbano;5;Não;Ruim;063.0;
Pernambuco;2;Urbano;6;Não;#N/D;;
Mato Grosso do Sul;3;Urbano;5;Sim;#N/D;;
Rio de Janeiro;2;Urbano;5;Não;#N/D;;
Pernambuco;3;Urbano;7;Não;#N/D;;
Pernambuco;3;Urbano;5;Sim;#N/D;;
Goiás;2;Urbano;7;Não;#N/D;;
Piauí;6;Urbano;11;Não;#N/D;;
São Paulo;4;Urbano;6;Sim;Boa;067.0;153
Paraná;6;Urbano;6;Não;#N/D;;
Tocantins;8;Urbano;6;Não;Boa;060.0;170
Amapá;10;Urbano;5;Não;#N/D;;
Alagoas;5;Urbano;6;Não;#N/D;;
Tocantins;3;Urbano;5;Sim;#N/D;;
Piauí;5;Rural;6;Não;Regular;056.0;165
Paraíba;2;Urbano;4;Não;Boa;089.0;174
Alagoas;5;Urbano;6;Não;#N/D;;
Distrito Federal;4;Urbano;5;Não;#N/D;;
Amazonas;7;Rural;10;Não;#N/D;;
Roraima;5;Urbano;7;Não;#N/D;;
Santa Catarina;2;Urbano;4;Não;Regular;053.0;144
Mato Grosso do Sul;5;Rural;7;Não;#N/D;;
Rio de Janeiro;6;Urbano;5;Não;#N/D;;
Paraná;4;Urbano;5;Não;#N/D;;
Rio de Janeiro;4;Urbano;7;Sim;#N/D;;
Sergipe;4;Urbano;15;Não;Boa;061.0;151
Sergipe;5;Urbano;7;Não;#N/D;;
Paraíba;3;Urbano;8;Não;#N/D;;
Maranhão;2;Rural;5;Não;Ruim;079.0;170
Santa Catarina;4;Urbano;7;Não;#N/D;;
Minas Gerais;2;Urbano;4;Não;Regular;098.0;161
Alagoas;4;Urbano;6;Não;Boa;069.0;164
São Paulo;2;Urbano;4;Não;#N/D;;
Roraima;2;Urbano;3;Não;#N/D;;
Pernambuco;5;Urbano;5;Não;Boa;085.0;173
Paraná;1;Rural;5;Não;Boa;075.0;170
Tocantins;6;Rural;4;Não;#N/D;;
Acre;;Urbano;;;#N/D;;
Acre;4;Urbano;6;Não;#N/D;;
Rondônia;5;Urbano;6;Não;Boa;047.0;
Pernambuco;1;Urbano;5;Não;Boa;042.0;
Mato Grosso;6;Rural;4;Não;Regular;;
Espírito Santo;2;Urbano;5;Não;Boa;055.0;165
Piauí;5;Urbano;6;Não;Regular;062.0;147
Espírito Santo;4;Urbano;4;Não;#N/D;;
Acre;3;Urbano;6;Não;#N/D;;
Pará;4;Urbano;6;Não;#N/D;;
Ceará;5;Urbano;5;Não;Boa;047.0;155
Minas Gerais;4;Urbano;10;Não;Boa;115.0;175
Paraná;4;Urbano;7;Sim;#N/D;;
Rio de Janeiro;1;Urbano;4;Não;Regular;;
Goiás;3;Urbano;10;Não;Regular;069.0;169
Minas Gerais;1;Urbano;5;Não;Boa;084.0;174
Goiás;4;Urbano;5;Sim;#N/D;;
Rondônia;4;Rural;6;Não;#N/D;;
Santa Catarina;4;Rural;6;Sim;Regular;075.0;158
Espírito Santo;1;Urbano;3;Sim;Regular;100.0;173
Alagoas;4;Rural;5;Sim;Regular;053.0;
São Paulo;4;Urbano;6;Não;Boa;071.0;178
Ceará;4;Rural;7;Não;#N/D;;
Mato Grosso;2;Urbano;5;Não;#N/D;;
Mato Grosso;2;Rural;4;Não;#N/D;;
Pernambuco;6;Urbano;9;Não;#N/D;;
Alagoas;7;Urbano;10;Sim;#N/D;;
Maranhão;4;Rural;4;Não;#N/D;;
Rondônia;3;Urbano;10;Sim;#N/D;;
Rio de Janeiro;4;Urbano;5;Não;#N/D;;
Pernambuco;3;Rural;5;Não;#N/D;;
Tocantins;2;Rural;4;Não;Boa;060.0;150
Rio de Janeiro;4;Urbano;5;Não;#N/D;;
Pará;7;Urbano;5;Não;#N/D;;
Rondônia;5;Urbano;6;Não;Regular;077.0;164
Pernambuco;14;Rural;5;Não;#N/D;;
Bahia;4;Urbano;6;Não;#N/D;;
Paraná;4;Rural;6;Não;#N/D;;
Minas Gerais;2;Urbano;5;Não;#N/D;;
Rio de Janeiro;4;Urbano;6;Não;Boa;056.0;
Pará;6;Urbano;10;Não;#N/D;;
Sergipe;4;Urbano;9;Não;#N/D;;
Ceará;4;Rural;9;Não;#N/D;;
Piauí;6;Urbano;6;Não;#N/D;;
Goiás;3;Urbano;9;Não;Boa;075.0;159
Maranhão;3;Rural;7;Não;Regular;055.0;
São Paulo;6;Urbano;7;Não;#N/D;;
Goiás;3;Urbano;5;Não;#N/D;;
Amazonas;2;Urbano;4;Não;#N/D;;
Distrito Federal;1;Urbano;2;Não;Muito boa;067.0;173
Santa Catarina;3;Rural;5;Não;#N/D;;
Paraíba;4;Rural;7;Não;#N/D;;
Rio Grande do Sul;1;Urbano;7;Não;Regular;085.0;168
Mato Grosso do Sul;3;Urbano;7;Não;#N/D;;
Rio de Janeiro;4;Urbano;5;Não;Regular;082.0;172
Paraíba;;Urbano;;;#N/D;;
Pernambuco;4;Rural;5;Não;Boa;;
Pará;4;Rural;6;Não;Boa;074.0;159
Amazonas;5;Urbano;4;Não;Boa;080.0;170
Minas Gerais;5;Urbano;8;Não;#N/D;;
Santa Catarina;4;Urbano;4;Sim;#N/D;;
Rio Grande do Sul;9;Urbano;10;Sim;#N/D;;
Pernambuco;4;Urbano;5;Não;Boa;078.0;160
Paraíba;4;Rural;5;Não;#N/D;;
Amapá;2;Urbano;5;Não;Regular;076.0;175
Pernambuco;2;Urbano;8;Sim;#N/D;;
Espírito Santo;3;Urbano;3;Sim;Boa;068.0;170
Paraná;3;Rural;6;Não;#N/D;;
Acre;3;Urbano;7;Não;#N/D;;
Maranhão;2;Rural;4;Sim;#N/D;;
Piauí;9;Rural;5;Não;#N/D;;
Alagoas;5;Urbano;9;Não;#N/D;;
Bahia;4;Urbano;5;Não;#N/D;;
Rio Grande do Norte;4;Urbano;6;Não;Ruim;065.0;
Rondônia;4;Rural;5;Sim;#N/D;;
Piauí;2;Urbano;6;Não;Boa;048.0;145
